
Miss counter = 57008

[110]: tagMask: 281474959933440 , tag_offset: 268435456 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 21
[111]: tagMask: 281474968322048 , tag_offset: 285212672 , ppn: 0 , valid: true , ptIndex: 111 , countAccess: 0
[112]: tagMask: 281474974613504 , tag_offset: 1476395008 , ppn: 0 , valid: true , ptIndex: 112 , countAccess: 0
[113]: tagMask: 281474976694272 , tag_offset: 1480540160 , ppn: 0 , valid: true , ptIndex: 113 , countAccess: 0
[114]: tagMask: 281474959933440 , tag_offset: 1493172224 , ppn: 0 , valid: true , ptIndex: 114 , countAccess: 0
[115]: tagMask: 281474968322048 , tag_offset: 68761419776 , ppn: 0 , valid: true , ptIndex: 115 , countAccess: 0
[116]: tagMask: 281474975662080 , tag_offset: 68769808384 , ppn: 0 , valid: true , ptIndex: 116 , countAccess: 0
[117]: tagMask: 281474972516352 , tag_offset: 68774002688 , ppn: 0 , valid: true , ptIndex: 117 , countAccess: 0
[118]: tagMask: 281474976702464 , tag_offset: 68778196992 , ppn: 0 , valid: true , ptIndex: 118 , countAccess: 0
[119]: tagMask: 281474975662080 , tag_offset: 68779245568 , ppn: 0 , valid: true , ptIndex: 119 , countAccess: 0
[120]: tagMask: 281474976702464 , tag_offset: 68780294144 , ppn: 0 , valid: true , ptIndex: 120 , countAccess: 0
[121]: tagMask: 281474976706560 , tag_offset: 68780302336 , ppn: 0 , valid: true , ptIndex: 121 , countAccess: 0
[122]: tagMask: 281474943156224 , tag_offset: 68786585600 , ppn: 0 , valid: true , ptIndex: 122 , countAccess: 0
[123]: tagMask: 281474974613504 , tag_offset: 68820140032 , ppn: 0 , valid: true , ptIndex: 123 , countAccess: 0
[124]: tagMask: 281474976186368 , tag_offset: 68822237184 , ppn: 0 , valid: true , ptIndex: 124 , countAccess: 0
[125]: tagMask: 281474968322048 , tag_offset: 68828528640 , ppn: 0 , valid: true , ptIndex: 125 , countAccess: 0
[126]: tagMask: 281474842492928 , tag_offset: 68853694464 , ppn: 0 , valid: true , ptIndex: 126 , countAccess: 0
[127]: tagMask: 281474976579584 , tag_offset: 137422176256 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 575309
[128]: tagMask: 281474976448512 , tag_offset: 140723030065152 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 0
[129]: tagMask: 281474976702464 , tag_offset: 140723030507520 , ppn: 0 , valid: true , ptIndex: 129 , countAccess: 0
