
Miss counter = 109492019

[135]: tagMask: ffffffff8000 , tag_offset: cc08000 , ppn: 0 , valid: true , ptIndex: 135 , countAccess: 26397
[136]: tagMask: ffffffe00000 , tag_offset: ce00000 , ppn: 0 , valid: true , ptIndex: 136 , countAccess: 0
[137]: tagMask: ffffffffc000 , tag_offset: d000000 , ppn: 0 , valid: true , ptIndex: 137 , countAccess: 34650
[138]: tagMask: ffffffe00000 , tag_offset: d200000 , ppn: 0 , valid: true , ptIndex: 138 , countAccess: 276977
[139]: tagMask: ffffffe00000 , tag_offset: d400000 , ppn: 0 , valid: true , ptIndex: 139 , countAccess: 0
[140]: tagMask: ffffffffc000 , tag_offset: d600000 , ppn: 0 , valid: true , ptIndex: 140 , countAccess: 39246
[141]: tagMask: ffffffffe000 , tag_offset: d604000 , ppn: 0 , valid: true , ptIndex: 141 , countAccess: 831
[142]: tagMask: fffffffc0000 , tag_offset: d640000 , ppn: 0 , valid: true , ptIndex: 142 , countAccess: 112632
[143]: tagMask: ffffffe00000 , tag_offset: d800000 , ppn: 0 , valid: true , ptIndex: 143 , countAccess: 0
[144]: tagMask: ffffffffe000 , tag_offset: da00000 , ppn: 0 , valid: true , ptIndex: 144 , countAccess: 39129
[145]: tagMask: fffffffc0000 , tag_offset: da40000 , ppn: 0 , valid: true , ptIndex: 145 , countAccess: 36210
[146]: tagMask: ffffffe00000 , tag_offset: dc00000 , ppn: 0 , valid: true , ptIndex: 146 , countAccess: 0
[147]: tagMask: ffffffffc000 , tag_offset: de00000 , ppn: 0 , valid: true , ptIndex: 147 , countAccess: 35590
[148]: tagMask: fffffffc0000 , tag_offset: de40000 , ppn: 0 , valid: true , ptIndex: 148 , countAccess: 29164
[149]: tagMask: ffffffe00000 , tag_offset: e000000 , ppn: 0 , valid: true , ptIndex: 149 , countAccess: 0
[150]: tagMask: ffffffffc000 , tag_offset: e200000 , ppn: 0 , valid: true , ptIndex: 150 , countAccess: 34065
[151]: tagMask: fffffff00000 , tag_offset: e300000 , ppn: 0 , valid: true , ptIndex: 151 , countAccess: 177080
[152]: tagMask: ffffffe00000 , tag_offset: e400000 , ppn: 0 , valid: true , ptIndex: 152 , countAccess: 0
[153]: tagMask: ffffffff0000 , tag_offset: e600000 , ppn: 0 , valid: true , ptIndex: 153 , countAccess: 39901
[154]: tagMask: fffffffe0000 , tag_offset: e620000 , ppn: 0 , valid: true , ptIndex: 154 , countAccess: 106601
[155]: tagMask: ffffffe00000 , tag_offset: e800000 , ppn: 0 , valid: true , ptIndex: 155 , countAccess: 0
[156]: tagMask: ffffffffe000 , tag_offset: ea00000 , ppn: 0 , valid: true , ptIndex: 156 , countAccess: 31493
[157]: tagMask: fffffff80000 , tag_offset: ea80000 , ppn: 0 , valid: true , ptIndex: 157 , countAccess: 518984
[158]: tagMask: ffffffe00000 , tag_offset: ec00000 , ppn: 0 , valid: true , ptIndex: 158 , countAccess: 0
[159]: tagMask: ffffffffc000 , tag_offset: ee00000 , ppn: 0 , valid: true , ptIndex: 159 , countAccess: 34570
[160]: tagMask: fffffffc0000 , tag_offset: ee40000 , ppn: 0 , valid: true , ptIndex: 160 , countAccess: 134101431
[161]: tagMask: ffffffe00000 , tag_offset: f000000 , ppn: 0 , valid: true , ptIndex: 161 , countAccess: 0
[162]: tagMask: ffffffff8000 , tag_offset: f200000 , ppn: 0 , valid: true , ptIndex: 162 , countAccess: 1112429
[163]: tagMask: ffffffe00000 , tag_offset: f400000 , ppn: 0 , valid: true , ptIndex: 163 , countAccess: 2250354
[164]: tagMask: ffffffe00000 , tag_offset: f600000 , ppn: 0 , valid: true , ptIndex: 164 , countAccess: 0
[165]: tagMask: ffffffff8000 , tag_offset: f800000 , ppn: 0 , valid: true , ptIndex: 165 , countAccess: 54736
[166]: tagMask: ffffffffe000 , tag_offset: f808000 , ppn: 0 , valid: true , ptIndex: 166 , countAccess: 8066
[167]: tagMask: fffffff80000 , tag_offset: f880000 , ppn: 0 , valid: true , ptIndex: 167 , countAccess: 11167172
[168]: tagMask: ffffffe00000 , tag_offset: fa00000 , ppn: 0 , valid: true , ptIndex: 168 , countAccess: 0
[169]: tagMask: ffffffffe000 , tag_offset: fc00000 , ppn: 0 , valid: true , ptIndex: 169 , countAccess: 366534
[170]: tagMask: ffffffe00000 , tag_offset: fe00000 , ppn: 0 , valid: true , ptIndex: 170 , countAccess: 80544150
[171]: tagMask: ffffffe00000 , tag_offset: 10000000 , ppn: 0 , valid: true , ptIndex: 171 , countAccess: 0
