
Miss counter = 93848384

[110]: tagMask: ffffffe00000 , tag_offset: 13600000 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 0
[111]: tagMask: ffffffffe000 , tag_offset: 13800000 , ppn: 0 , valid: true , ptIndex: 111 , countAccess: 822323
[112]: tagMask: ffffffe00000 , tag_offset: 13a00000 , ppn: 0 , valid: true , ptIndex: 112 , countAccess: 66492604
[113]: tagMask: ffffffe00000 , tag_offset: 13c00000 , ppn: 0 , valid: true , ptIndex: 113 , countAccess: 0
[114]: tagMask: ffffffffe000 , tag_offset: 13e00000 , ppn: 0 , valid: true , ptIndex: 114 , countAccess: 1318472
[115]: tagMask: fffffffff000 , tag_offset: 13e02000 , ppn: 0 , valid: true , ptIndex: 115 , countAccess: 484173
[116]: tagMask: ffffffffe000 , tag_offset: 13e04000 , ppn: 0 , valid: true , ptIndex: 116 , countAccess: 11026530
[117]: tagMask: ffffffe00000 , tag_offset: 14000000 , ppn: 0 , valid: true , ptIndex: 117 , countAccess: 0
[118]: tagMask: ffffffffe000 , tag_offset: 14200000 , ppn: 0 , valid: true , ptIndex: 118 , countAccess: 1125180
[119]: tagMask: fffffff80000 , tag_offset: 14280000 , ppn: 0 , valid: true , ptIndex: 119 , countAccess: 729247901
[120]: tagMask: ffffffe00000 , tag_offset: 14400000 , ppn: 0 , valid: true , ptIndex: 120 , countAccess: 0
[121]: tagMask: ffffffffe000 , tag_offset: 14600000 , ppn: 0 , valid: true , ptIndex: 121 , countAccess: 1268829
[122]: tagMask: fffffff80000 , tag_offset: 14680000 , ppn: 0 , valid: true , ptIndex: 122 , countAccess: 44429
[123]: tagMask: ffffffe00000 , tag_offset: 14800000 , ppn: 0 , valid: true , ptIndex: 123 , countAccess: 0
[124]: tagMask: ffffffff8000 , tag_offset: 14a00000 , ppn: 0 , valid: true , ptIndex: 124 , countAccess: 50074
[125]: tagMask: fffffffff000 , tag_offset: 14a08000 , ppn: 0 , valid: true , ptIndex: 125 , countAccess: 0
[126]: tagMask: fffffffc0000 , tag_offset: 14a40000 , ppn: 0 , valid: true , ptIndex: 126 , countAccess: 38090
[127]: tagMask: ffffffe00000 , tag_offset: 14c00000 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 0
[128]: tagMask: ffffffffc000 , tag_offset: 14e00000 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 49679
[129]: tagMask: ffffffe00000 , tag_offset: 15000000 , ppn: 0 , valid: true , ptIndex: 129 , countAccess: 65900394
